
snap(-10,6,20)

sky(168,193,224)
fog(208,191,156)
ground(143,191,178)
polys(133,181,168)

clouds(255,255,255,5,-1000)

fadefrom(5000)
density(5)

nlaps(3)
//changing laps count as cheating! 
name(Indigo Plateau)


set(47,0,0,0)
set(10,0,5600,0)
set(10,0,11200,0)
set(26,0,11750,0)pr
set(10,0,16800,0)p
set(10,0,22400,0)p
set(10,0,28000,0)p
set(14,0,32550,-90)
chk(40,0,30800,0)
set(10,-4550,32550,-90)p
set(10,-10150,32550,-90)p
set(10,-15750,32550,-90)
set(10,-38150,32550,90)p
set(10,-21350,32550,90)
set(10,-26950,32550,90)
set(10,-32550,32550,90)p
set(37,-36000,32450,90)
set(37,-35000,32650,90)
set(37,-34000,32450,90)
set(37,-33000,32650,90)
set(37,-32000,32450,90)
set(37,-31000,32650,90)
set(37,-30000,32450,90)
set(37,-29000,32650,90)
set(37,-28000,32450,90)
set(37,-27000,32650,90)
set(37,-26000,32450,90)
set(10,-43750,32550,90)p
set(10,-49350,32550,90)p
set(10,-54950,32550,90)p
set(14,-59500,32550,0)
chk(40,-57250,32550,90)
set(10,-59500,28000,0)p
set(38,-59500,26952,0)
set(10,-59500,22400,0)
set(38,-59500,23248,180)
set(38,-59500,25152,180)
set(10,-59500,16800,0)
set(10,-59500,11200,0)p
set(10,-59500,5600,0)p
set(14,-59500,1050,90)
chk(40,-59500,2800,0)
set(10,-54950,1050,90)p
set(10,-49350,1050,90)
set(10,-43750,1050,90)
set(10,-38150,1050,90)p
set(10,37210,1050,-90)p
set(14,41760,1050,180)
chk(40,40010,1050,90)
set(10,41760,5600,180)p
set(10,41760,11200,180)p
set(10,41760,16800,180)p
set(10,41760,30520,180)p
set(10,41760,36120,180)p
set(14,41760,40670,-90)pt
set(10,37210,40670,-90)p
set(10,31610,40670,-90)p
set(10,26010,40670,-90)p
set(14,21460,40670,0)pt
set(20,21460,36120,0)p
set(15,21460,30520,0)
set(15,21460,24920,0)

set(33,21460,31125,0)pr
set(33,21460,27125,0)
set(33,21460,23125,0)

set(15,21460,19320,0)
set(15,21460,13720,0)p
set(17,21460,9170,180)pt
set(17,17960,9170,90)pt
set(15,17960,13720,180)p
set(15,17960,19320,180)
set(15,17960,24920,180)
set(15,17960,30520,180)
set(21,17960,36120,0)p
set(19,17960,40670,-90)pt
set(19,14460,40670,0)pt
set(21,14460,36120,0)p
set(44,14460,30520,0)
set(43,14460,24920,0)
set(43,14460,19320,180)
set(35,17960,20175,0)pr
set(44,14460,13720,180)p
set(17,14460,9170,180)pt
set(17,10960,9170,90)pt
set(15,10960,13720,180)
set(15,10960,19320,180)
set(35,11525,19325,180)pr
set(35,10425,17075,180)pr
set(15,10960,24920,0)
set(52,14460,26850,180)pr
set(15,10960,30520,0)p
set(17,10960,35070,-90)pt
set(17,7460,35070,0)pt
set(21,7460,30520,180)
set(18,7460,24920,180)
set(36,5650,27900,90)ph
set(36,5650,23980,90)
set(36,5650,25940,90)
set(22,7460,21560,180)p
set(14,7460,19250,180)pt
set(22,5150,19250,-90)
set(22,4030,19250,90)
set(10,-9148,19250,90)
set(10,-14748,19250,90)p
set(10,-20348,19250,90)p
set(10,-25948,19250,90)p
set(10,-31548,19250,90)p
set(10,-37148,19250,90)p
set(12,-42778,20770,60)
set(23,-45608,22290,-90)
set(26,-46450,22290,90)pr
set(13,-42778,17730,120)
set(23,-45608,16210,-90)
set(26,-46208,16210,90)pr
set(10,-54616,19250,90)
set(10,-64544,19250,90)
set(28,-59500,19312,180)
set(28,-59580,19250,90)pr
set(10,-70144,19250,90)p
set(14,-74694,19250,0)pt
set(14,-74694,15750,90)pt
set(12,-70114,14230,-120)p
set(14,-65534,12710,-90)pt
set(10,-65534,8160,0)p
set(10,-65534,2560,0)p
set(14,-65534,-1990,90)pt
set(22,-63224,-1990,90)p
set(18,-59864,-1990,90)
set(36,-60480,-3800,180)
set(21,-54264,-1990,90)
set(36,-58520,-3800,180)ph
set(21,-48664,-1990,-90)
set(18,-43064,-1990,90)
set(28,-47125,1050,90)pr
//fix(41,-38625,-3740,-750,90)
fix(41,-38625,-3740,-1000,90)
set(19,-38514,-1990,-90)pt
set(36,-40928,-3800,180)
set(19,-38514,-5490,90)pt
set(18,-33964,-5490,90)p
set(36,-36330,-3684,0)
set(18,-28364,-5490,90)
set(21,-22764,-5490,90)p
set(15,-17164,-5490,90)
set(24,-14364,-5490,-90)
set(33,-14364,-5494,90)pr
set(20,-4552,-5494,-90)
set(14,-2,-5494,180)pt
set(22,0,-3360,0)p
set(13,-32520,2570,120)
set(12,-32520,-470,60)
set(23,-29690,-1990,90)
set(23,-9329,-1990,-90)
set(23,-4920,-1990,90)
set(10,20350,-1990,90)
set(10,25950,-1990,90)
set(13,31580,-470,120)
set(14,41760,21350,-90)
chk(40,41760,19600,0)
set(10,37210,21350,-90)
set(10,31610,21350,-90)
set(23,-6348,19250,90)
set(14,41760,25970,180)
set(10,37210,25970,-90)
set(10,31610,25970,-90)
set(14,27060,25970,0)
set(22,27060,23660,0)
chk(40,27060,23625,0)
set(14,27060,21350,90)
set(10,33225,23625,-90)
set(37,33625,23625,180)
set(22,36120,23625,-90)
set(37,34775,23625,180)
set(22,37240,23625,90)
